nameWithOwner,url,releases,createdAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
boto/boto3,https://github.com/boto/boto3.git,14,2014-10-03,17714,11154,94,0,4,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,98,5542
brython-dev/brython,https://github.com/brython-dev/brython.git,48,2014-09-15,78364,50860,303,0,2,23,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,1112,3333
buildbot/buildbot,https://github.com/buildbot/buildbot.git,30,2010-07-06,181085,126946,805,1,31,6,0,X,71.90310300908152,A,72.2506904720574,A,1.5,67.92696431662098,3.7737202398122767,0.01403677461028802,843,4378
burnash/gspread,https://github.com/burnash/gspread.git,27,2011-12-02,2817,1492,9,0,1,1,0,X,68.31153527785627,A,73.15733362637157,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,11,4766
byt3bl33d3r/CrackMapExec,https://github.com/byt3bl33d3r/CrackMapExec.git,24,2015-08-14,8841,6377,82,0,10,1,0,X,55.25267215800261,A,67.97737335412072,A,2.2,174.2350916969552,9.679727316497512,0.03143195429236667,93,3766
byt3bl33d3r/MITMf,https://github.com/byt3bl33d3r/MITMf.git,10,2014-07-07,7476,4860,51,21,7,0,0,X,74.2853607341219,A,74.74658408989274,A,1.8,105.15890002115393,5.8421611122863295,0.01850219859070546,79,2989
carltongibson/django-filter,https://github.com/carltongibson/django-filter.git,19,2009-01-30,10714,7514,39,0,1,0,0,X,64.74726792786996,A,68.22262325533258,A,1.0,18.575424759098897,1.0319680421721609,0.005169925001442312,40,3059
caronc/apprise,https://github.com/caronc/apprise.git,19,2017-11-25,41576,22023,114,0,2,0,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,127,2871
celery/celery,https://github.com/celery/celery.git,9,2009-04-24,61852,43475,318,0,23,13,0,X,54.39863418881937,A,58.310367542795234,A,2.0,168.88551277684326,9.382528487602404,0.03129616994056038,354,15285
certbot/certbot,https://github.com/certbot/certbot.git,7,2014-11-12,68772,41437,353,0,4,2,0,X,67.11342589091021,A,69.76512532098393,A,1.5,43.18506523353572,2.399170290751984,0.012180403014586996,359,26862
chainer/chainer,https://github.com/chainer/chainer.git,103,2015-06-05,153101,98726,841,0,44,5,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,1164,5400
chrippa/livestreamer,https://github.com/chrippa/livestreamer.git,24,2011-08-15,19511,14055,155,1,5,1,0,X,58.76349574242501,A,61.955397301529956,A,1.25,42.11032383086406,2.3394624350480036,0.009357849740192013,162,3760
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey.git,3,2014-01-01,6264,4057,93,0,11,0,0,X,74.17383745932607,A,82.87517586014691,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,104,8924
chrissimpkins/codeface,https://github.com/chrissimpkins/codeface.git,2,2015-06-13,1367,920,15,0,3,0,0,X,82.30615394376346,A,82.30615394376346,A,1.7142857142857142,294.6666666666667,16.37037037037037,0.034666666666666665,18,5271
chrissimpkins/Crunch,https://github.com/chrissimpkins/Crunch.git,14,2016-04-10,1947,1246,7,0,1,0,0,X,68.31853437974253,A,68.31853437974253,A,3.0,925.8355845585663,51.43531025325368,0.09745637732195435,8,2889
christabor/flask_jsondash,https://github.com/christabor/flask_jsondash.git,6,2016-02-18,4870,3589,35,0,5,0,0,X,56.04668893091997,A,57.66714255884416,A,1.5,135.6923076923077,7.538461538461539,0.03752932501298081,40,3057
chyroc/WechatSogou,https://github.com/chyroc/WechatSogou.git,7,2016-05-09,2675,1623,21,0,0,0,0,X,70.41855098876711,A,75.10860823706722,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,21,4583
cloud-custodian/cloud-custodian,https://github.com/cloud-custodian/cloud-custodian.git,36,2016-03-01,0,0,0,0,0,0,0,Z,-2,Z,-2,Z,-2,-2,-2,-2,0,2947
cloudtools/troposphere,https://github.com/cloudtools/troposphere.git,53,2012-12-12,37559,29114,254,0,2,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,256,4175
coala/coala,https://github.com/coala/coala.git,17,2014-05-15,43285,27467,327,2,37,0,0,X,74.98292578835641,A,87.54675514252027,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,366,3018
codelucas/newspaper,https://github.com/codelucas/newspaper.git,2,2013-11-25,5072,3223,25,0,2,1,0,X,55.29923642838846,A,66.96137082695458,A,3.9473684210526314,454.60907963057826,25.25605997947657,0.04798651396100548,28,9761
codertimo/BERT-pytorch,https://github.com/codertimo/BERT-pytorch.git,5,2018-10-15,974,582,27,0,0,0,0,X,82.78109675936061,A,96.89906534144248,A,0.5,4.0,0.2222222222222222,0.0015849625007211565,27,3546
coleifer/huey,https://github.com/coleifer/huey.git,38,2011-11-03,5489,3900,46,0,10,2,0,X,63.3068647906125,A,63.3068647906125,A,1.59375,78.33148814133165,4.351749341185091,0.015534837503125011,58,3014
coleifer/peewee,https://github.com/coleifer/peewee.git,114,2010-10-11,26103,19934,77,0,2,5,0,X,42.64909867200218,A,46.022555769349424,A,3.7096774193548385,672.6914529376529,37.37174738542516,0.06639240693341016,84,7624
conan-io/conan,https://github.com/conan-io/conan.git,150,2015-12-01,22644,17634,123,0,10,2,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,804,4053
conda/conda,https://github.com/conda/conda.git,129,2012-10-15,60453,40221,253,0,9,13,0,X,63.050596350106424,A,64.79882534598391,A,2.5,267.27272727272725,14.848484848484848,0.03539939594536321,275,3665
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter.git,18,2013-07-14,7852,4828,81,2,0,0,0,X,66.14680509776308,A,76.95292197463655,A,0.7142857142857143,15.509775004326936,0.861654166907052,0.005169925001442312,83,12269
CouchPotato/CouchPotatoServer,https://github.com/CouchPotato/CouchPotatoServer.git,15,2011-02-06,35597,25743,280,16,18,1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,862,3709
cowrie/cowrie,https://github.com/cowrie/cowrie.git,15,2015-05-12,22530,14768,151,0,13,0,0,X,61.158022071247586,A,69.59520491955217,A,2.0,140.65524087198165,7.814180048443425,0.024743640438853954,164,3173
crsmithdev/arrow,https://github.com/crsmithdev/arrow.git,31,2012-11-18,2095,1319,16,0,1,5,0,X,80.8273473430218,A,80.8273473430218,A,0.592948717948718,30.61654857462961,1.7009193652572006,0.008711032383086407,22,6147
CTFd/CTFd,https://github.com/CTFd/CTFd.git,38,2015-01-01,26030,19833,214,0,25,0,0,X,66.7607985088292,A,68.97857379299481,A,0.8285714285714285,24.202288258120284,1.3445715698955714,0.008422064766172813,239,2773
cupy/cupy,https://github.com/cupy/cupy.git,72,2016-11-01,68836,45496,379,0,37,7,0,X,57.697993131587985,A,64.23220587006315,A,1.9411764705882353,146.50839733531944,8.139355407517748,0.02266666666666667,423,4223
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en.git,4,2018-10-09,1631,1089,5,0,0,1,0,X,60.58848922106479,A,60.58848922106479,A,4.375,1387.4180824513403,77.07878235840779,0.10570804437724497,6,6016
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh.git,10,2017-08-23,586,282,7,0,0,2,0,X,100.0,A,100.0,A,0,0,0.0,0.0,9,17728
darknessomi/musicbox,https://github.com/darknessomi/musicbox.git,10,2014-08-05,3747,2924,21,0,0,0,0,X,73.46779846094358,A,79.01185722014272,A,1.0,30.0,1.6666666666666667,0.01,21,8398
datawire/ambassador,https://github.com/datawire/ambassador.git,69,2017-03-30,29598,19857,133,0,2,1,0,X,59.88145257408066,A,61.67937826566151,A,2.4444444444444446,261.7026771675066,14.539037620417032,0.038073549220576035,136,2810
deepfakes/faceswap,https://github.com/deepfakes/faceswap.git,2,2017-12-19,38618,22828,152,0,27,5,0,X,57.81785436742753,A,64.64837595483513,A,3.1314285714285717,404.44285422887657,22.46904745715981,0.04706070969335388,184,31176
deepmind/pysc2,https://github.com/deepmind/pysc2.git,5,2017-07-25,17771,12154,105,0,0,2,0,X,76.22237952697493,A,75.15244614556562,A,2.0,97.296514274174,5.405361904120777,0.017767656302935482,107,6915
deepmind/sonnet,https://github.com/deepmind/sonnet.git,2,2017-04-03,22165,12838,124,0,0,0,0,X,73.31361454229418,A,71.82278190486882,A,1.9375,110.49845392726809,6.138802995959338,0.018251099295352728,124,8413
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,36,2017-11-17,46657,26252,324,0,52,0,0,X,75.14604970404181,A,75.93260490432738,A,1.8375,103.69763033353476,5.760979462974154,0.018476250278385523,376,4392
deeppomf/DeepCreamPy,https://github.com/deeppomf/DeepCreamPy.git,11,2018-02-09,1473,964,9,0,0,0,0,X,57.03570991951445,A,57.03570991951445,A,4.476744186046512,2122.3524322943554,117.90846846079752,0.15802797331369228,9,9558
deis/deis,https://github.com/deis/deis.git,66,2013-07-22,12746,9864,79,7,7,0,0,X,100.0,A,100.0,A,0,0,0.0,0.0,93,6121
Delgan/loguru,https://github.com/Delgan/loguru.git,15,2017-08-15,13309,9669,139,0,1,1,0,X,64.36668105303058,A,64.36668105303058,A,0.5,15.509775004326936,0.861654166907052,0.005169925001442312,141,6358
DistrictDataLabs/yellowbrick,https://github.com/DistrictDataLabs/yellowbrick.git,18,2016-05-18,46586,20904,184,0,4,0,0,X,71.71636459862775,A,67.1215920384569,A,1.5,84.53272943230145,4.69626274623897,0.0184807935569469,188,2775
django-crispy-forms/django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms.git,12,2011-11-01,5579,3669,27,0,4,0,0,X,53.35968829979709,A,64.01833064371122,A,2.6666666666666665,260.43858600947004,14.468810333859446,0.038073549220576035,31,3905
django-haystack/django-haystack,https://github.com/django-haystack/django-haystack.git,10,2009-01-29,29063,21149,123,0,13,0,0,X,86.08188388701431,A,86.08188388701431,A,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725,136,2991
django-tastypie/django-tastypie,https://github.com/django-tastypie/django-tastypie.git,4,2010-03-29,14484,9468,149,0,43,2,0,X,100.0,A,100.0,A,0,0,0.0,0.0,194,3655
Dman95/SASM,https://github.com/Dman95/SASM.git,22,2013-06-03,16658,14857,45,15,0,0,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,155,5394
dmlc/dgl,https://github.com/dmlc/dgl.git,10,2018-04-20,110010,64916,553,0,3,3,0,X,55.71836885551505,A,59.939416168009714,A,3.42,588.4035209258818,32.68908449588233,0.054178322214038455,559,5098
dmlc/gluon-cv,https://github.com/dmlc/gluon-cv.git,7,2018-02-26,75156,42997,351,0,10,0,0,X,58.13430702367554,A,63.38005586563922,A,3.6,581.6899455689701,32.316108087165006,0.04953446602426373,361,3990
doccano/doccano,https://github.com/doccano/doccano.git,5,2018-05-09,5723,4387,50,0,14,0,0,X,94.96667951795105,A,100.0,A,0.25,0.5,0.027777777777777776,0.0003333333333333333,64,3166
docker/compose,https://github.com/docker/compose.git,128,2013-12-09,11568,8997,68,0,6,8,0,X,49.91369001438025,A,52.755949553678775,A,1.7627877237851663,408.0435155447815,22.669084196932307,0.06021177202416293,82,19973
docker/docker-py,https://github.com/docker/docker-py.git,64,2013-05-23,24153,15210,123,0,5,4,0,X,53.88919277491107,A,57.87673518225676,A,1.875,163.49215481968827,9.082897489982681,0.03269970273000272,132,4772
donnemartin/gitsome,https://github.com/donnemartin/gitsome.git,5,2016-04-23,58967,36475,325,3,11,6,0,X,72.29089518195985,A,76.1791961916219,A,1.5,86.03910001730776,4.779950000961542,0.017924812503605784,345,6828
donnemartin/haxor-news,https://github.com/donnemartin/haxor-news.git,4,2015-11-16,4581,2360,46,0,0,1,0,X,92.9657935056104,A,91.75505667374065,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,47,3127
donnemartin/saws,https://github.com/donnemartin/saws.git,8,2015-08-24,4011,1731,36,0,0,0,0,X,89.66374303371302,A,74.67758673950695,A,0.5,6.4828921423310435,0.36016067457394685,0.003934940079072802,36,4512
dpkp/kafka-python,https://github.com/dpkp/kafka-python.git,32,2012-09-24,27693,18160,131,0,3,1,0,X,60.545945773973585,A,65.26389295662761,A,2.2,228.44129532345625,12.691183073525346,0.029897352853986262,135,3901
dropbox/pyston,https://github.com/dropbox/pyston.git,7,2014-04-01,44326,30991,238,220,8,4,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,2841,4523
dschep/ntfy,https://github.com/dschep/ntfy.git,26,2015-12-17,2962,2141,39,0,2,0,0,X,64.43796465322242,A,81.23937036146346,A,0.5,6.965784284662087,0.3869880158145604,0.004,41,3737
eastlakeside/interpy-zh,https://github.com/eastlakeside/interpy-zh.git,5,2015-09-21,125,77,7,20,0,0,0,X,100.0,A,100.0,A,0,0,0.0,0.0,27,5355
edgedb/edgedb,https://github.com/edgedb/edgedb.git,3,2017-06-29,166341,123366,371,0,1,12,0,X,67.74113057272397,A,67.21301047092197,A,1.8,126.55503836042534,7.030835464468074,0.021575011224993085,384,3982
edx/edx-platform,https://github.com/edx/edx-platform.git,4,2013-05-30,115064,73695,651,0,98,5,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,3724,5082
Eloston/ungoogled-chromium,https://github.com/Eloston/ungoogled-chromium.git,26,2015-06-12,4832,3049,28,0,6,0,0,X,71.20993443013529,A,72.96557308662314,A,2.125,111.3651314701849,6.186951748343606,0.021616523921772164,34,9266
emre/storm,https://github.com/emre/storm.git,6,2013-05-20,1977,1258,12,0,1,0,0,X,58.0784958486038,A,65.59066195634529,A,1.682608695652174,159.4297798850186,8.857209993612145,0.02566405368364625,13,3674
encode/django-rest-framework,https://github.com/encode/django-rest-framework.git,13,2011-03-02,31623,21711,136,0,14,5,0,X,52.15669123343049,A,62.54479938648443,A,2.0,227.6899088927118,12.649439382928433,0.043407113888119214,155,18049
encode/httpx,https://github.com/encode/httpx.git,11,2019-04-04,9930,7217,45,0,4,1,0,X,46.8944481410104,A,51.73902340763474,A,1.7297297297297298,357.2196593574137,19.84553663096743,0.06730296890880645,50,5012
encode/uvicorn,https://github.com/encode/uvicorn.git,2,2017-05-31,6395,5000,54,0,8,0,0,X,58.177404271318565,A,59.288158335519526,A,1.5,68.53238859703687,3.8073549220576037,0.018213505547155624,62,2716
EpistasisLab/tpot,https://github.com/EpistasisLab/tpot.git,22,2015-11-03,7323,4175,47,0,0,2,0,X,85.66175357628966,A,87.82812295419461,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,49,7213
equinusocio/material-theme,https://github.com/equinusocio/material-theme.git,88,2015-06-01,872,647,9,0,1,0,0,X,57.21095748892495,A,69.24229147083798,A,1.5,62.26976913547136,3.4594316186372978,0.012684582601670092,10,11080
eternnoir/pyTelegramBotAPI,https://github.com/eternnoir/pyTelegramBotAPI.git,26,2015-06-26,2715,1818,23,0,0,3,0,X,76.26534252913578,A,76.26534252913578,A,1.5,62.26976913547136,3.4594316186372978,0.01383772647454919,26,3076
evhub/coconut,https://github.com/evhub/coconut.git,29,2014-10-04,6802,4662,31,0,2,2,0,X,70.33267147625044,A,73.13311901942923,A,2.0,148.26135508445563,8.236741949136423,0.03889735285398626,35,2788
explosion/spaCy,https://github.com/explosion/spaCy.git,66,2014-07-03,20218,15518,128,0,3,1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1,685,16709
facebook/chisel,https://github.com/facebook/chisel.git,10,2014-02-21,4875,3722,23,0,0,1,0,X,52.54383331831069,A,52.54383331831069,A,4.0,1821.7132220457268,101.20629011365149,0.13808904890142534,24,8259
facebook/PathPicker,https://github.com/facebook/PathPicker.git,12,2015-05-01,3710,2763,26,0,3,0,0,X,75.55240995086308,A,78.63237315779094,A,1.0,19.304820237218404,1.0724900131788002,0.006434940079072801,29,4411
facebook/prophet,https://github.com/facebook/prophet.git,8,2016-11-16,5251,3470,12,0,1,1,0,X,48.478003928063075,A,48.478003928063075,A,7.355042016806722,3844.4016674526247,213.5778704140347,0.17365702068414668,14,11037
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2.git,4,2019-09-05,43211,26619,238,0,4,0,0,X,59.18299864260074,A,66.46620827731059,A,2.80625,386.2571237215488,21.4587290956416,0.04697217881974963,242,11223
facebookresearch/mmf,https://github.com/facebookresearch/mmf.git,2,2018-06-27,28094,19372,218,0,1,0,0,X,70.48908709830698,A,70.99027535157217,A,1.0238095238095237,42.793987519471216,2.377443751081734,0.009509775004326938,219,3625
facebookresearch/pytext,https://github.com/facebookresearch/pytext.git,9,2018-07-31,54060,38191,355,0,5,1,0,X,68.3189889799249,A,73.11234555340442,A,1.5,42.793987519471216,2.377443751081734,0.011,361,5897
facebookresearch/pytorch3d,https://github.com/facebookresearch/pytorch3d.git,3,2019-10-25,31748,19859,135,0,0,0,0,X,67.83221592918673,A,67.93869245376199,A,3.6363636363636362,548.5714285714286,30.476190476190474,0.06089316234606298,135,3278
fail2ban/fail2ban,https://github.com/fail2ban/fail2ban.git,24,2011-09-28,27302,18556,78,3,0,1,0,X,51.693732351287146,A,51.693732351287146,A,5.962962962962963,3303.9139015279748,183.5507723071097,0.1697518119999612,82,5125
FeatureLabs/featuretools,https://github.com/FeatureLabs/featuretools.git,47,2017-09-08,21972,14181,128,0,16,4,0,X,58.933879783258746,A,66.99000638427933,A,1.4166666666666665,68.91619429851843,3.8286774610288017,0.01356271942704932,148,4911
fizyr/keras-retinanet,https://github.com/fizyr/keras-retinanet.git,6,2017-08-14,8586,4682,59,0,10,0,0,X,61.66719549859374,A,73.77651170978122,A,2.3333333333333335,196.0,10.88888888888889,0.03269970273000272,69,3845
flairNLP/flair,https://github.com/flairNLP/flair.git,12,2018-06-11,16680,11386,51,0,0,3,0,X,48.8904909814418,A,52.82263821320472,A,2.8846153846153846,805.82830299823,44.76823905545722,0.08221753104394951,54,8941
flask-admin/flask-admin,https://github.com/flask-admin/flask-admin.git,13,2012-03-18,24537,14626,126,0,10,1,0,X,63.8042193487196,A,69.92716080583236,A,1.0555555555555556,36.0,2.0,0.010590201507293498,137,4290
flask-restful/flask-restful,https://github.com/flask-restful/flask-restful.git,6,2012-10-12,6009,3953,25,0,0,0,0,X,60.673122976652714,A,61.86886661155734,A,1.0909090909090908,36.0,2.0,0.008422064766172813,25,5619
